Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),88389.69,565.00,244780.00,6806006.00,26890.64,35529.00,36546.60,41137.00,53461.00,92895.00,232262.00,238574.20,244655.36,71686.44

Metric,Value
Benchmark Duration (sec),888.40
Input Token Throughput (tokens/sec),7504.91
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),57.31
Request Count,77.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.09
Theoretical Prefix Cache Hit (%),95.99
Total Input Sequence Length (tokens),6754427.00
Total Output Sequence Length (tokens),51579.00
Total Output Tokens (tokens),51579.00
Total Token Throughput (tokens/sec),7562.22
Total Usage Completion Tokens (tokens),51579.00
Total Usage Prompt Tokens (tokens),6754427.00
Total Usage Total Tokens (tokens),6806006.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
