concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	5	279030972	142.69	0.03504212651294856	35.042126512948556	248.4465668	28.316820092492488	28536.949839200002
2	8	279040979	115.83	0.06906672428906467	69.06672428906467	395.286457	28.583691665040043	28950.394430375
4	16	279060993	124.83	0.1281700086522394	128.1700086522394	661.311939375	30.573943652027022	31204.681647749996
8	24	279101021	106.27	0.22584292542141912	225.84292542141912	982.5742662916668	34.46559026284618	35413.698938875
16	48	279181077	238.69	0.201096785759077	201.09678575907702	1521.5800755624996	78.09059315611444	79534.08263852082
32	64	279341189	164.53	0.38897653606516147	388.9765360651615	13671.212059874999	57.07891129800111	70693.0444465781
64	128	279661413	327.28	0.39110681760945426	391.10681760945425	75676.46847723436	58.293742203539495	133911.91693857036
128	256	280301861	671.36	0.3813132373575929	381.3132373575929	195817.27142277345	59.8389919130693	255596.4243439297
256	512	281582757	1326.15	0.38607970291968485	386.07970291968485	437169.810309666	59.76743868499164	496877.4815559728
512	1024	284144549	2584.30	0.3962383760527505	396.2383760527505	920690.1353743814	59.72138329499616	980351.7972860805
