-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.25%     818.913us         0.36%       1.164ms      33.245us      38.083ms        89.13%      38.083ms       1.088ms            35  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      30.149ms        70.57%      30.149ms       3.015ms            10  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us      30.149ms        70.57%      30.149ms       3.015ms            10  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.202ms        28.56%      12.202ms       6.101ms             2  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.522ms        24.63%      10.522ms     420.875us            25  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       5.890ms        13.79%       5.890ms     736.263us             8  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us     373.312us         0.87%     373.312us      37.331us            10  
                                         nccl:send 0->1         0.00%       0.000us         0.00%       0.000us       0.000us     373.312us         0.87%     373.312us      37.331us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     285.666us         0.67%     285.666us      14.283us            20  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     195.133us         0.46%     195.133us      16.261us            12  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     123.840us         0.29%     123.840us      30.960us             4  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     106.432us         0.25%     106.432us      15.205us             7  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     101.729us         0.24%     101.729us       5.086us            20  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      67.072us         0.16%      67.072us      16.768us             4  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us      56.096us         0.13%      56.096us       7.012us             8  
                                       cuLaunchKernelEx         0.14%     451.791us         0.14%     451.791us       6.454us      55.648us         0.13%      55.648us       0.795us            70  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      53.120us         0.12%      53.120us       1.107us            48  
                                       _flashkda_C::fwd         0.02%      55.044us         0.05%     171.606us      85.803us      51.135us         0.12%      53.439us      26.719us             2  
