-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.16%     795.686us         0.23%       1.137ms      32.499us      37.991ms        88.97%      37.991ms       1.085ms            35  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      30.032ms        70.33%      30.032ms       3.003ms            10  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us      30.032ms        70.33%      30.032ms       3.003ms            10  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.071ms        28.27%      12.071ms       6.036ms             2  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.657ms        24.96%      10.657ms     426.290us            25  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       6.055ms        14.18%       6.055ms     756.872us             8  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us     332.476us         0.78%     332.476us      33.248us            10  
                                         nccl:send 0->1         0.00%       0.000us         0.00%       0.000us       0.000us     332.476us         0.78%     332.476us      33.248us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     283.774us         0.66%     283.774us      14.189us            20  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     194.881us         0.46%     194.881us      16.240us            12  
                                       cuLaunchKernelEx         0.10%     484.030us         0.10%     484.030us       6.915us     131.807us         0.31%     131.807us       1.883us            70  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     123.264us         0.29%     123.264us      30.816us             4  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     108.062us         0.25%     108.062us      15.437us             7  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     102.786us         0.24%     102.786us       5.139us            20  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      67.040us         0.16%      67.040us      16.760us             4  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us      55.614us         0.13%      55.614us       6.952us             8  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      53.026us         0.12%      53.026us       1.105us            48  
                                       _flashkda_C::fwd         0.01%      70.250us         0.04%     206.185us     103.092us      50.912us         0.12%      53.248us      26.624us             2  
