-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.16%     789.524us         0.23%       1.125ms      32.138us      38.108ms        89.00%      38.108ms       1.089ms            35  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      30.013ms        70.09%      30.013ms       3.001ms            10  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us      30.013ms        70.09%      30.013ms       3.001ms            10  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.049ms        28.14%      12.049ms       6.025ms             2  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.764ms        25.14%      10.764ms     430.542us            25  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       6.084ms        14.21%       6.084ms     760.462us             8  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us     366.496us         0.86%     366.496us      36.650us            10  
                                         nccl:send 0->1         0.00%       0.000us         0.00%       0.000us       0.000us     366.496us         0.86%     366.496us      36.650us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     284.769us         0.67%     284.769us      14.238us            20  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     193.857us         0.45%     193.857us      16.155us            12  
                                       cuLaunchKernelEx         0.09%     450.024us         0.09%     450.024us       6.429us     148.735us         0.35%     148.735us       2.125us            70  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     122.881us         0.29%     122.881us      30.720us             4  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     107.041us         0.25%     107.041us      15.292us             7  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     103.037us         0.24%     103.037us       5.152us            20  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      67.680us         0.16%      67.680us      16.920us             4  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us      57.245us         0.13%      57.245us       7.156us             8  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      53.536us         0.13%      53.536us       1.115us            48  
                                       _flashkda_C::fwd         0.01%      49.922us         0.03%     153.677us      76.838us      50.976us         0.12%      53.248us      26.624us             2  
