-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.26%     831.974us         0.97%       3.123ms      89.237us      36.011ms        88.64%      36.011ms       1.029ms            35  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      29.503ms        72.62%      29.503ms       2.950ms            10  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us      29.503ms        72.62%      29.503ms       2.950ms            10  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      11.762ms        28.95%      11.762ms       5.881ms             2  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       8.967ms        22.07%       8.967ms     358.675us            25  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       5.608ms        13.80%       5.608ms     700.947us             8  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us     460.032us         1.13%     460.032us      46.003us            10  
                                         nccl:send 0->1         0.00%       0.000us         0.00%       0.000us       0.000us     460.032us         1.13%     460.032us      46.003us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     287.073us         0.71%     287.073us      14.354us            20  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     198.975us         0.49%     198.975us      16.581us            12  
                                       cuLaunchKernelEx         0.13%     423.592us         0.13%     423.592us       6.051us     147.808us         0.36%     147.808us       2.112us            70  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     124.223us         0.31%     124.223us      31.056us             4  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     105.054us         0.26%     105.054us      15.008us             7  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     102.400us         0.25%     102.400us       5.120us            20  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      67.296us         0.17%      67.296us      16.824us             4  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us      55.647us         0.14%      55.647us       6.956us             8  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      54.401us         0.13%      54.401us       1.133us            48  
                                            aten::copy_         0.07%     232.317us         0.20%     642.721us       8.685us      52.002us         0.13%      56.035us       0.757us            74  
