-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.21%     788.251us         0.29%       1.103ms      31.515us      37.738ms        88.77%      37.738ms       1.078ms            35  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      30.245ms        71.14%      30.245ms       3.024ms            10  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us      30.245ms        71.14%      30.245ms       3.024ms            10  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      11.671ms        27.45%      11.671ms       5.835ms             2  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.133ms        23.84%      10.133ms     405.324us            25  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       5.484ms        12.90%       5.484ms     685.557us             8  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us     450.369us         1.06%     450.369us      45.037us            10  
                                         nccl:send 0->1         0.00%       0.000us         0.00%       0.000us       0.000us     450.369us         1.06%     450.369us      45.037us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     283.746us         0.67%     283.746us      14.187us            20  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     198.463us         0.47%     198.463us      16.539us            12  
                                       cuLaunchKernelEx         0.11%     409.863us         0.11%     409.863us       5.855us     168.926us         0.40%     168.926us       2.413us            70  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     122.272us         0.29%     122.272us      30.568us             4  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     106.240us         0.25%     106.240us      15.177us             7  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     101.311us         0.24%     101.311us       5.066us            20  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      66.369us         0.16%      66.369us      16.592us             4  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us      56.191us         0.13%      56.191us       7.024us             8  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      52.832us         0.12%      52.832us       1.101us            48  
                                       _flashkda_C::fwd         0.01%      39.580us         0.04%     133.964us      66.982us      51.170us         0.12%      53.538us      26.769us             2  
