concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	6	1022033501	121.44	0.04940585060686232	49.405850606862316	245.0058136601001	20.015303976678446	
2	12	1022043508	140.89	0.08517105987531463	85.17105987531464	317.09914980456233	23.18714075999301	
4	20	1022063522	158.28	0.1263563626397583	126.3563626397583	5344.913180358708	26.336973567341307	
8	24	1022103550	90.52	0.2651291957349629	265.1291957349629	1164.7576671869804	29.0368213598159	
16	48	1022183606	102.03	0.4704386011027554	470.43860110275546	1670.3025650737497	32.35417666229658	
32	96	1022343718	149.26	0.6431569934073278	643.1569934073278	4596.704984505777	37.309596423017325	
64	128	1022663942	189.69	0.6747945195772393	674.7945195772394	36609.480886512756	37.446074685543245	
128	256	1023304390	352.97	0.7252666247522274	725.2666247522274	99777.20647993374	37.42909439950143	
256	512	1024585286	702.04	0.7293040952610114	729.3040952610114	227708.88536107668	37.76591208097179	
512	1024	1027147078	1393.03	0.735090048284913	735.090048284913	487342.90461508953	38.059042290222	
