-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      44.546us         0.14%      44.546us       0.825us            54  
                          _flashmla_C::dense_decode_fwd         0.01%      47.769us         0.04%     161.625us     161.625us      40.928us         0.12%      81.856us      81.856us             1  
                                  Lazy Function Loading         0.01%      40.012us         0.01%      40.012us      40.012us      40.928us         0.12%      40.928us      40.928us             1  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      39.679us         0.12%      39.679us       2.204us            18  
                                           aten::cumsum         0.07%     280.880us         0.12%     466.920us      25.940us      38.723us         0.12%      38.723us       2.151us            18  
         nvjet_sm90_tst_64x16_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      36.991us         0.11%      36.991us       7.398us             5  
                nvjet_sm90_tst_64x16_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      32.799us         0.10%      32.799us      32.799us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.239us         0.09%      30.239us       0.840us            36  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      28.704us         0.09%      28.704us       1.367us            21  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us      27.774us         0.08%      27.774us       1.543us            18  
                                           aten::arange         0.07%     263.472us         1.10%       4.405ms      61.183us      26.242us         0.08%      53.892us       0.749us            72  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      26.242us         0.08%      26.242us       0.729us            36  
void at_cuda_detail::cub::detail::scan::DeviceScanKe...         0.00%       0.000us         0.00%       0.000us       0.000us      25.056us         0.08%      25.056us       1.392us            18  
                         triton_poi_fused_mul_sigmoid_0         0.00%       0.000us         0.00%       0.000us       0.000us      20.382us         0.06%      20.382us       1.132us            18  
                                             aten::add_         0.03%     114.605us         0.05%     187.414us      10.412us      19.746us         0.06%      19.746us       1.097us            18  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.969us         0.05%      15.969us       0.887us            18  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      14.976us         0.05%      14.976us       3.744us             4  
void _flash_kda_fwd_prepare<cute::TiledCopy<cute::Co...         0.00%       0.000us         0.00%       0.000us       0.000us      14.784us         0.05%      14.784us       4.928us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.721us         0.04%      14.721us       0.818us            18  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.018us         0.04%      14.018us       0.779us            18  
void at_cuda_detail::cub::detail::scan::DeviceScanIn...         0.00%       0.000us         0.00%       0.000us       0.000us      13.667us         0.04%      13.667us       0.759us            18  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.160us         0.04%      12.160us       0.676us            18  
