-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      17.160ms        46.65%      17.160ms      86.665us           198  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       6.406ms        17.42%       6.406ms     118.621us            54  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.152ms         5.85%       2.152ms      11.507us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.922ms         5.23%       1.922ms      16.154us           119  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     867.459us         2.36%     867.459us       5.355us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     823.584us         2.24%     823.584us      15.252us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.360us         2.12%     779.360us       9.169us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     654.912us         1.78%     654.912us       1.402us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     534.083us         1.45%     534.083us      31.417us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     516.960us         1.41%     516.960us      28.720us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     476.416us         1.30%     476.416us      26.468us            18  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     430.819us         1.17%     430.819us       2.032us           212  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us     365.472us         0.99%     365.472us       7.166us            51  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     326.627us         0.89%     326.627us       6.404us            51  
void vllm::moe::moe_align_block_size_small_batch_exp...         0.00%       0.000us         0.00%       0.000us       0.000us     312.901us         0.85%     312.901us       5.794us            54  
void smxx::decode::flash_fwd_mla_combine_kernel<cutl...         0.00%       0.000us         0.00%       0.000us       0.000us     283.168us         0.77%     283.168us      16.657us            17  
