-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      16.069ms        73.49%      16.069ms       2.009ms             8  
                                       vllm::all_gather         0.01%      68.968us         0.18%       1.478ms      98.551us      11.331ms        51.82%      11.331ms     755.410us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      11.331ms        51.82%      11.331ms     755.410us            15  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.246ms        37.71%       8.246ms       2.749ms             3  
                                     record_param_comms         0.12%     971.130us         0.16%       1.321ms      44.031us       4.713ms        21.56%       4.713ms     157.104us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       4.653ms        21.28%       4.653ms     465.294us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       4.653ms        21.28%       4.653ms     465.294us            10  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.918ms        13.34%       2.918ms     145.880us            20  
                                               aten::mm         0.02%     163.889us         0.03%     220.748us      44.150us     380.482us         1.74%     380.482us      76.096us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     367.425us         1.68%     367.425us      73.485us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     257.377us         1.18%     257.377us      16.086us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     223.807us         1.02%     223.807us       9.325us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     157.663us         0.72%     157.663us       9.854us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     145.472us         0.67%     145.472us      29.094us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     131.521us         0.60%     131.521us       5.261us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     130.208us         0.60%     130.208us      16.276us             8  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     124.096us         0.57%     124.096us      24.819us             5  
