-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      13.754ms        80.28%      13.754ms       1.719ms             8  
                                       vllm::all_gather         0.01%      77.661us         0.19%       1.583ms     105.558us       8.248ms        48.14%       8.248ms     549.877us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       8.248ms        48.14%       8.248ms     549.877us            15  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.177ms        47.73%       8.177ms       2.726ms             3  
                                     record_param_comms         0.14%       1.129ms         0.19%       1.542ms      51.415us       3.223ms        18.81%       3.223ms     107.427us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       3.164ms        18.47%       3.164ms     316.363us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       3.164ms        18.47%       3.164ms     316.363us            10  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.731ms        15.94%       2.731ms     136.550us            20  
                                               aten::mm         0.02%     183.740us         0.03%     255.290us      51.058us     391.802us         2.29%     391.802us      78.360us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     378.908us         2.21%     378.908us      75.782us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     257.534us         1.50%     257.534us      16.096us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     223.422us         1.30%     223.422us       9.309us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     158.816us         0.93%     158.816us       9.926us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     147.647us         0.86%     147.647us      29.529us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     132.286us         0.77%     132.286us       5.291us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     130.975us         0.76%     130.975us      16.372us             8  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     124.543us         0.73%     124.543us      24.909us             5  
