-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      14.345ms        73.98%      14.345ms       1.793ms             8  
                                       vllm::all_gather         0.01%      74.212us         0.18%       1.470ms      97.977us       9.450ms        48.73%       9.450ms     630.021us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       9.450ms        48.73%       9.450ms     630.021us            15  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.269ms        42.64%       8.269ms       2.756ms             3  
                                     record_param_comms         0.21%       1.756ms         0.26%       2.132ms      71.069us       4.172ms        21.51%       4.172ms     139.050us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       4.112ms        21.20%       4.112ms     411.160us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       4.112ms        21.20%       4.112ms     411.160us            10  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.925ms        15.08%       2.925ms     146.225us            20  
                                               aten::mm         0.02%     173.149us         0.03%     224.648us      44.930us     381.246us         1.97%     381.246us      76.249us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     368.607us         1.90%     368.607us      73.721us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     259.201us         1.34%     259.201us      16.200us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     223.072us         1.15%     223.072us       9.295us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     159.808us         0.82%     159.808us       9.988us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.840us         0.74%     143.840us      28.768us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     132.834us         0.68%     132.834us       5.313us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     129.792us         0.67%     129.792us      16.224us             8  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     124.833us         0.64%     124.833us      24.967us             5  
