-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us      21.409us         0.10%      21.409us       2.676us             8  
_Z25_flash_kda_fwd_recurrenceIN4cute9TiledCopyINS0_9...         0.00%       0.000us         0.00%       0.000us       0.000us      20.832us         0.10%      20.832us      20.832us             1  
                                           aten::argmax         0.01%      62.496us         0.01%      87.718us      17.544us      20.129us         0.10%      20.129us       4.026us             5  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      20.129us         0.10%      20.129us       4.026us             5  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.761us         0.08%      17.761us       3.552us             5  
void smxx::decode::flash_fwd_mla_combine_kernel<cutl...         0.00%       0.000us         0.00%       0.000us       0.000us      17.440us         0.08%      17.440us      17.440us             1  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.378us         0.08%      17.378us       5.793us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.928us         0.08%      16.928us       3.386us             5  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.257us         0.08%      16.257us       3.251us             5  
                                            aten::fill_         0.02%     136.710us         0.03%     267.327us       6.855us      16.226us         0.08%      16.226us       0.416us            39  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.553us         0.07%      15.553us       0.915us            17  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      15.360us         0.07%      15.360us       3.072us             5  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.137us         0.07%      15.137us       3.784us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.104us         0.07%      15.104us       1.510us            10  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      14.912us         0.07%      14.912us       0.994us            15  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      14.240us         0.07%      14.240us       1.424us            10  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us      13.569us         0.06%      13.569us       3.392us             4  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.119us         0.06%      13.119us       2.624us             5  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.088us         0.06%      13.088us       2.618us             5  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.055us         0.06%      13.055us       2.611us             5  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.640us         0.06%      12.640us       2.528us             5  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.514us         0.06%      12.514us       1.251us            10  
                                           _C::rms_norm         0.01%      55.370us         0.01%      99.154us      19.831us      12.352us         0.06%      12.352us       2.470us             5  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us      12.352us         0.06%      12.352us       2.470us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.889us         0.05%       9.889us       1.978us             5  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us       9.505us         0.05%       9.505us       1.901us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.119us         0.04%       9.119us       1.824us             5  
                                           aten::gather         0.01%      67.589us         0.01%      93.585us      18.717us       9.088us         0.04%       9.088us       1.818us             5  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       9.088us         0.04%       9.088us       1.818us             5  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       8.993us         0.04%       8.993us       4.496us             2  
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us       7.169us         0.03%       7.169us       3.584us             2  
                                              aten::bmm         0.00%      39.337us         0.02%     158.705us      79.352us       6.784us         0.03%       6.784us       3.392us             2  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.464us         0.03%       6.464us       1.293us             5  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.018us         0.03%       6.018us       1.204us             5  
                                              aten::cat         0.01%      56.218us         0.01%      85.579us      17.116us       5.888us         0.03%       5.888us       1.178us             5  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.888us         0.03%       5.888us       1.178us             5  
                         triton_poi_fused_mul_sigmoid_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.791us         0.03%       5.791us       1.158us             5  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.993us         0.02%       4.993us       0.999us             5  
void _flash_kda_fwd_prepare<cute::TiledCopy<cute::Co...         0.00%       0.000us         0.00%       0.000us       0.000us       4.576us         0.02%       4.576us       4.576us             1  
                                  cudaStreamIsCapturing         0.01%      47.502us         0.01%      47.502us       0.319us       4.416us         0.02%       4.416us       0.030us           149  
                                 aten::_index_put_impl_         0.00%      14.307us         0.00%      40.040us      40.040us       3.839us         0.02%       4.991us       4.991us             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.839us         0.02%       3.839us       3.839us             1  
                                           aten::arange         0.01%      57.120us         0.03%     224.376us      22.438us       3.745us         0.02%       7.490us       0.749us            10  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.745us         0.02%       3.745us       0.749us             5  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.425us         0.02%       3.425us       3.425us             1  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.02%       3.392us       3.392us             1  
                 nvjet_sm90_tst_64x8_64x16_2x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.02%       3.392us       3.392us             1  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         0.02%       3.296us       3.296us             1  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.984us         0.01%       1.984us       1.984us             1  
                                              aten::sub         0.01%      65.250us         0.01%      79.004us       5.643us       1.920us         0.01%       1.920us       0.137us            14  
_C::fused_kimi_k3_mla_decode_q_concat_kv_cache_inser...         0.00%      22.592us         0.00%      31.258us      31.258us       1.888us         0.01%       1.888us       1.888us             1  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.729us         0.01%       1.729us       1.729us             1  
