-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      11.369ms       109.43%      11.369ms       1.421ms             8  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       6.930ms        66.70%       6.930ms       2.310ms             3  
                                       vllm::all_gather         0.01%      73.245us         0.22%       1.828ms     121.844us       4.136ms        39.81%       4.136ms     275.727us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       4.136ms        39.81%       4.136ms     275.727us            15  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       1.987ms        19.13%       1.987ms      99.374us            20  
                                     record_param_comms         0.25%       2.111ms         0.30%       2.502ms      83.387us       1.446ms        13.91%       1.446ms      48.190us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms        13.36%       1.388ms     138.819us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms        13.36%       1.388ms     138.819us            10  
                                               aten::mm         0.02%     177.138us         0.03%     233.178us      46.636us     378.174us         3.64%     378.174us      75.635us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     365.278us         3.52%     365.278us      73.056us             5  
                                        cudaEventRecord         0.01%      97.411us         0.01%      97.411us       0.847us     310.943us         2.99%     310.943us       2.704us           115  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     259.583us         2.50%     259.583us      16.224us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     223.392us         2.15%     223.392us       9.308us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     159.231us         1.53%     159.231us       9.952us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.519us         1.38%     143.519us      28.704us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     131.038us         1.26%     131.038us       5.242us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     130.495us         1.26%     130.495us      16.312us             8  
