-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      11.636ms        77.79%      11.636ms       1.454ms             8  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.226ms        55.00%       8.226ms       2.742ms             3  
                                       vllm::all_gather         0.01%      73.284us         0.19%       1.584ms     105.611us       6.411ms        42.86%       6.411ms     427.395us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       6.411ms        42.86%       6.411ms     427.395us            15  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.921ms        19.53%       2.921ms     146.032us            20  
                                     record_param_comms         0.24%       1.961ms         0.29%       2.387ms      79.572us       2.763ms        18.47%       2.763ms      92.106us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       2.705ms        18.08%       2.705ms     270.483us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       2.705ms        18.08%       2.705ms     270.483us            10  
                                               aten::mm         0.02%     167.662us         0.03%     220.582us      44.116us     405.760us         2.71%     405.760us      81.152us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     392.864us         2.63%     392.864us      78.573us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     254.594us         1.70%     254.594us      15.912us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     227.202us         1.52%     227.202us       9.467us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     158.079us         1.06%     158.079us       9.880us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     144.126us         0.96%     144.126us      28.825us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     130.912us         0.88%     130.912us       5.236us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     130.335us         0.87%     130.335us      16.292us             8  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     124.063us         0.83%     124.063us      24.813us             5  
