Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to Second Token (ms),880.72,0.00,5501.72,58127.26,0.00,0.00,0.00,15.03,19.38,779.43,3341.56,3524.25,4807.35,1517.68
Tokens In Flight (tokens),211645.99,0.00,365778.00,,,,,,222272.00,,320863.00,359551.00,364532.00,83319.01
Usage Completion Tokens (tokens),551.83,2.00,8160.00,36421.00,20.85,94.25,101.00,111.25,127.00,199.75,466.50,3662.25,6380.30,1374.78
Usage Prompt Tokens (tokens),69551.06,35086.00,230008.00,4590370.00,35086.00,35504.00,36432.50,40277.50,51616.00,73648.50,110113.50,196531.75,225829.15,48767.00
Usage Total Tokens (tokens),70102.89,35203.00,231739.00,4626791.00,35204.95,35603.00,36543.50,40450.50,51902.00,74657.50,112704.50,198307.50,230634.00,49495.01

Metric,Value
Benchmark Duration (sec),908.45
Completed Requests (Success + Error),68.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),4997.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.65
Request Count,66.00
Request Error Rate (%),2.94
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.51
Total Input Sequence Length (tokens),4590370.00
Total Output Sequence Length (tokens),36421.00
Total Output Tokens (tokens),36421.00
Total Token Throughput (tokens/sec),5037.58
Total Usage Completion Tokens (tokens),36421.00
Total Usage Prompt Tokens (tokens),4590370.00
Total Usage Total Tokens (tokens),4626791.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
