-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.667ms        97.82%      19.667ms       1.229ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.310ms        61.22%      12.310ms       1.539ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.960ms        59.48%      11.960ms     229.994us            52  
                                       vllm::all_reduce         0.01%      31.424us         0.22%     537.481us     107.496us       9.635ms        47.92%       9.635ms       1.927ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.209ms        20.93%       4.209ms     526.110us             8  
                                       vllm::all_gather         0.01%      28.657us         0.22%     546.853us     109.371us     476.123us         2.37%     476.123us      95.225us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     476.123us         2.37%     476.123us      95.225us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     374.529us         1.86%     374.529us      15.605us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     339.101us         1.69%     339.101us      10.597us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     235.358us         1.17%     235.358us       5.230us            45  
                                               aten::mm         0.07%     165.740us         0.08%     201.076us      40.215us     183.680us         0.91%     183.680us      36.736us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     183.680us         0.91%     183.680us      36.736us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     167.901us         0.84%     167.901us       5.247us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     145.120us         0.72%     145.120us      29.024us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.216us         0.68%     137.216us      27.443us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     135.712us         0.67%     135.712us       1.885us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     113.662us         0.57%     113.662us       3.247us            35  
