-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.455us         0.12%      23.455us       1.564us            15  
                nvjet_sm90_tst_16x64_64x16_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      23.264us         0.12%      23.264us       5.816us             4  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.231us         0.12%      23.231us       2.323us            10  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.784us         0.12%      22.784us       1.519us            15  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      22.496us         0.12%      22.496us       1.071us            21  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      21.634us         0.11%      21.634us       1.082us            20  
                                           aten::argmax         0.02%      59.882us         0.03%      83.474us      16.695us      21.024us         0.11%      21.024us       4.205us             5  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      21.024us         0.11%      21.024us       4.205us             5  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.778us         0.10%      19.778us       3.956us             5  
                                            aten::fill_         0.06%     152.531us         0.78%       1.955ms      36.892us      19.170us         0.10%      20.002us       0.377us            53  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.655us         0.10%      18.655us       3.731us             5  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      17.695us         0.09%      17.695us       1.106us            16  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.056us         0.09%      17.056us       3.411us             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.08%      16.000us       3.200us             5  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.775us         0.08%      15.775us       3.155us             5  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.009us         0.08%      15.009us       3.752us             4  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      14.015us         0.07%      14.015us       3.504us             4  
void _flash_kda_fwd_prepare<cute::TiledCopy<cute::Co...         0.00%       0.000us         0.00%       0.000us       0.000us      13.600us         0.07%      13.600us       4.533us             3  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.567us         0.07%      13.567us       2.713us             5  
                                     aten::index_select         0.03%      64.940us         0.06%     139.723us      27.945us      13.310us         0.07%      13.310us       2.662us             5  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      13.310us         0.07%      13.310us       2.662us             5  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.736us         0.07%      12.736us       2.547us             5  
                                           _C::rms_norm         0.02%      43.251us         0.03%      69.020us      13.804us      12.448us         0.07%      12.448us       2.490us             5  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      12.289us         0.06%      12.289us       2.048us             6  
                                     aten::masked_fill_         0.02%      46.210us         0.04%      89.572us      17.914us      11.775us         0.06%      11.775us       2.355us             5  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.775us         0.06%      11.775us       2.355us             5  
                                 aten::_index_put_impl_         0.01%      31.305us         0.04%      90.604us      30.201us      11.616us         0.06%      15.232us       5.077us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.616us         0.06%      11.616us       3.872us             3  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      11.584us         0.06%      11.584us       2.317us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us      11.358us         0.06%      11.358us       2.840us             4  
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us      11.136us         0.06%      11.136us       3.712us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.272us         0.05%      10.272us       2.054us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.631us         0.05%       9.631us       1.926us             5  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us       9.311us         0.05%       9.311us       1.862us             5  
                                           aten::gather         0.02%      48.300us         0.03%      72.117us      14.423us       8.512us         0.04%       8.512us       1.702us             5  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       8.512us         0.04%       8.512us       1.702us             5  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.04%       7.360us       2.453us             3  
                                              aten::bmm         0.01%      35.707us         0.05%     119.264us      59.632us       6.720us         0.04%       6.720us       3.360us             2  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.303us         0.03%       6.303us       1.261us             5  
                                              aten::sub         0.03%      73.979us         0.04%     102.440us       4.656us       5.889us         0.03%       5.889us       0.268us            22  
                         triton_poi_fused_mul_sigmoid_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.345us         0.03%       5.345us       1.069us             5  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.279us         0.03%       5.279us       1.056us             5  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.386us         0.02%       4.386us       0.877us             5  
                                           aten::arange         0.02%      44.609us         0.07%     175.212us      17.521us       3.967us         0.02%       7.934us       0.793us            10  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.967us         0.02%       3.967us       0.793us             5  
                                  cudaStreamIsCapturing         0.01%      22.140us         0.01%      22.140us       0.288us       3.808us         0.02%       3.808us       0.049us            77  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.807us         0.02%       3.807us       1.269us             3  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.01%      27.428us         0.05%     129.571us      32.393us       3.713us         0.02%       3.713us       0.928us             4  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us       3.713us         0.02%       3.713us       0.928us             4  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.712us         0.02%       3.712us       3.712us             1  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.01%      20.242us         0.03%      71.072us      17.768us       3.678us         0.02%       3.678us       0.919us             4  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.678us         0.02%       3.678us       0.919us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616us         0.02%       3.616us       1.205us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.359us         0.02%       3.359us       1.120us             3  
                                               aten::gt         0.01%      23.672us         0.01%      35.590us      11.863us       3.296us         0.02%       3.296us       1.099us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         0.02%       3.296us       1.099us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.104us         0.02%       3.104us       1.035us             3  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.072us         0.02%       3.072us       3.072us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.785us         0.01%       2.785us       0.928us             3  
                               cudaEventRecordWithFlags         0.02%      37.605us         0.02%      37.605us       0.917us       2.528us         0.01%       2.528us       0.062us            41  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 250.221ms
Self CUDA time total: 19.061ms

