-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.759ms       101.87%      19.759ms       1.235ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.362ms        63.74%      12.362ms       1.545ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.017ms        56.80%      11.017ms     211.857us            52  
                                       vllm::all_reduce         0.01%      31.864us         0.24%     594.570us     118.914us       9.195ms        47.41%       9.195ms       1.839ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.032ms        20.79%       4.032ms     504.054us             8  
                                       vllm::all_gather         0.01%      26.995us         0.21%     526.117us     105.223us     446.270us         2.30%     446.270us      89.254us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     446.270us         2.30%     446.270us      89.254us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     378.783us         1.95%     378.783us      15.783us            24  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     364.060us         1.88%     364.060us      15.169us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     339.740us         1.75%     339.740us      10.617us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     241.347us         1.24%     241.347us       5.363us            45  
                                               aten::mm         0.06%     158.912us         0.08%     190.253us      38.051us     188.574us         0.97%     188.574us      37.715us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.574us         0.97%     188.574us      37.715us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.569us         0.85%     165.569us       5.174us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     149.343us         0.77%     149.343us      29.869us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     137.698us         0.71%     137.698us       1.912us            72  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.440us         0.71%     137.440us      27.488us             5  
