-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.683ms       101.97%      19.683ms       1.230ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.311ms        63.78%      12.311ms       1.539ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.417ms        59.15%      11.417ms     219.564us            52  
                                       vllm::all_reduce         0.01%      29.549us         0.21%     526.224us     105.245us       9.196ms        47.64%       9.196ms       1.839ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.995ms        20.69%       3.995ms     499.316us             8  
                                       vllm::all_gather         0.01%      27.000us         0.23%     558.793us     111.759us     439.521us         2.28%     439.521us      87.904us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     439.521us         2.28%     439.521us      87.904us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     377.278us         1.95%     377.278us      15.720us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     337.888us         1.75%     337.888us      10.559us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     250.978us         1.30%     250.978us       5.577us            45  
                                               aten::mm         0.06%     158.693us         0.08%     187.156us      37.431us     190.656us         0.99%     190.656us      38.131us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     190.656us         0.99%     190.656us      38.131us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.952us         0.86%     165.952us       5.186us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     145.951us         0.76%     145.951us      29.190us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     137.026us         0.71%     137.026us       1.903us            72  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.929us         0.71%     136.929us      27.386us             5  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     112.960us         0.59%     112.960us       3.227us            35  
