-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.731ms        99.51%      19.731ms       1.233ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.481ms        62.95%      12.481ms       1.560ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.830ms        59.67%      11.830ms     227.504us            52  
                                       vllm::all_reduce         0.01%      40.819us         0.23%     657.898us     131.580us       9.512ms        47.98%       9.512ms       1.902ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.120ms        20.78%       4.120ms     515.005us             8  
                                       vllm::all_gather         0.01%      29.230us         0.21%     597.794us     119.559us     470.817us         2.37%     470.817us      94.163us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     470.817us         2.37%     470.817us      94.163us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     374.210us         1.89%     374.210us      15.592us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     340.543us         1.72%     340.543us      10.642us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     241.087us         1.22%     241.087us       5.357us            45  
                                               aten::mm         0.06%     177.875us         0.07%     208.507us      41.701us     189.920us         0.96%     189.920us      37.984us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.920us         0.96%     189.920us      37.984us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     167.360us         0.84%     167.360us       5.230us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     149.377us         0.75%     149.377us      29.875us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.960us         0.69%     136.960us      27.392us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     136.290us         0.69%     136.290us       1.893us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     112.446us         0.57%     112.446us       3.213us            35  
