-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.727ms        97.33%      19.727ms       1.233ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.448ms        61.42%      12.448ms       1.556ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      12.133ms        59.86%      12.133ms     233.322us            52  
                                       vllm::all_reduce         0.01%      33.751us         0.22%     534.984us     106.997us       9.777ms        48.24%       9.777ms       1.955ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.278ms        21.11%       4.278ms     534.708us             8  
                                       vllm::all_gather         0.01%      27.022us         0.21%     511.994us     102.399us     444.768us         2.19%     444.768us      88.954us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     444.768us         2.19%     444.768us      88.954us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     378.945us         1.87%     378.945us      15.789us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     335.265us         1.65%     335.265us      10.477us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     239.203us         1.18%     239.203us       5.316us            45  
                                               aten::mm         0.07%     164.743us         0.08%     198.977us      39.795us     188.959us         0.93%     188.959us      37.792us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.959us         0.93%     188.959us      37.792us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.794us         0.82%     165.794us       5.181us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     150.144us         0.74%     150.144us      30.029us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.153us         0.68%     137.153us      27.431us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     135.423us         0.67%     135.423us       1.881us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     110.717us         0.55%     110.717us       3.163us            35  
