Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),269.85,23.00,3308.00,19969.00,44.17,72.30,82.90,101.25,128.00,199.00,491.20,708.85,2878.03,490.65
Usage Prompt Cache Read Tokens (tokens),45222.05,64.00,168896.00,3346432.00,64.00,64.00,16755.20,19328.00,44320.00,59776.00,72972.80,76032.00,165251.84,30901.63
Usage Prompt Tokens (tokens),51617.24,836.00,169944.00,3819676.00,13024.08,17992.30,18940.20,30098.25,53468.00,63795.50,74635.40,78660.50,169451.98,28858.06
Usage Total Tokens (tokens),51887.09,859.00,170051.00,3839645.00,13122.27,18109.20,19032.70,30189.50,53928.00,63983.75,74746.80,78789.55,170041.51,28889.93

Metric,Value
Benchmark Duration (sec),882.95
Input Token Throughput (tokens/sec),4063.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),21.24
Overall Usage Prompt Cache Read % (%),87.61
Request Count,74.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),90.72
Total Input Sequence Length (tokens),3819676.00
Total Output Sequence Length (tokens),19969.00
Total Output Tokens (tokens),19969.00
Total Token Throughput (tokens/sec),4084.72
Total Usage Completion Tokens (tokens),19969.00
Total Usage Prompt Cache Read Tokens (tokens),3346432.00
Total Usage Prompt Tokens (tokens),3819676.00
Total Usage Total Tokens (tokens),3839645.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
