Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),52728.12,0.00,162567.00,,,,,,0.00,,138538.00,160805.00,162093.00,65498.73
Usage Completion Tokens (tokens),683.25,9.00,2429.00,10932.00,25.50,91.50,135.00,223.75,555.50,730.00,1597.00,2042.75,2351.75,652.95
Usage Prompt Tokens (tokens),128943.56,100162.00,161287.00,2063097.00,100532.20,102013.00,103638.00,110847.50,132023.50,138107.50,160180.50,160878.25,161205.25,19777.47
Usage Total Tokens (tokens),129626.81,102591.00,162567.00,2074029.00,102619.50,102733.50,103834.00,111288.00,132476.50,138511.75,160936.50,161589.00,162371.40,19787.93

Metric,Value
Benchmark Duration (sec),440.71
Completed Requests (Success + Error),236.00
Context Overflow Count,0.00
Error Request Count,220.00
Input Token Throughput (tokens/sec),2218.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),11.76
Request Count,16.00
Request Error Rate (%),93.22
Request Throughput (requests/sec),0.02
Theoretical Prefix Cache Hit (%),96.24
Total Input Sequence Length (tokens),2063097.00
Total Output Sequence Length (tokens),10932.00
Total Output Tokens (tokens),10932.00
Total Token Throughput (tokens/sec),2230.21
Total Usage Completion Tokens (tokens),10932.00
Total Usage Prompt Tokens (tokens),2063097.00
Total Usage Total Tokens (tokens),2074029.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
