-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.144ms       107.54%      23.144ms       1.446ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.707ms        63.69%      13.707ms     263.605us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.770ms        59.34%      12.770ms       1.596ms             8  
                                       vllm::all_reduce         0.01%      30.663us         0.16%     535.445us     107.089us      11.429ms        53.10%      11.429ms       2.286ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.659ms        17.00%       3.659ms     457.349us             8  
                                       vllm::all_gather         0.01%      29.024us         0.17%     575.452us     115.090us     427.713us         1.99%     427.713us      85.543us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     427.713us         1.99%     427.713us      85.543us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.354us         1.79%     384.354us      16.015us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     344.736us         1.60%     344.736us      10.773us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     255.681us         1.19%     255.681us       5.682us            45  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     243.427us         1.13%     243.427us      20.286us            12  
                                               aten::mm         0.05%     160.679us         0.06%     190.557us      38.111us     188.416us         0.88%     188.416us      37.683us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.416us         0.88%     188.416us      37.683us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     163.871us         0.76%     163.871us       5.121us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     146.080us         0.68%     146.080us       9.739us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.264us         0.67%     143.264us      28.653us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     137.665us         0.64%     137.665us       1.912us            72  
