-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.127ms       104.23%      23.127ms       1.445ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      14.008ms        63.13%      14.008ms     269.387us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.525ms        56.45%      12.525ms       1.566ms             8  
                                       vllm::all_reduce         0.01%      35.338us         0.16%     516.353us     103.271us      11.819ms        53.27%      11.819ms       2.364ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.048ms        18.24%       4.048ms     505.965us             8  
                                       vllm::all_gather         0.01%      27.019us         0.16%     540.092us     108.018us     430.397us         1.94%     430.397us      86.079us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     430.397us         1.94%     430.397us      86.079us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.415us         1.73%     384.415us      16.017us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     338.492us         1.53%     338.492us      10.578us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     238.972us         1.08%     238.972us      19.914us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     236.766us         1.07%     236.766us       5.261us            45  
                                               aten::mm         0.05%     159.260us         0.06%     188.373us      37.675us     189.088us         0.85%     189.088us      37.818us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.088us         0.85%     189.088us      37.818us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.560us         0.75%     166.560us       5.205us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     144.029us         0.65%     144.029us       9.602us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     141.695us         0.64%     141.695us      28.339us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.799us         0.62%     136.799us      27.360us             5  
