-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.156ms       105.46%      23.156ms       1.447ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.854ms        63.10%      13.854ms     266.423us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.573ms        57.26%      12.573ms       1.572ms             8  
                                       vllm::all_reduce         0.01%      31.490us         0.16%     519.776us     103.955us      11.633ms        52.98%      11.633ms       2.327ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.976ms        18.11%       3.976ms     497.013us             8  
                                       vllm::all_gather         0.01%      28.501us         0.17%     558.518us     111.704us     430.752us         1.96%     430.752us      86.150us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     430.752us         1.96%     430.752us      86.150us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     386.464us         1.76%     386.464us      16.103us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     343.551us         1.56%     343.551us      10.736us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     241.185us         1.10%     241.185us      20.099us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     237.730us         1.08%     237.730us       5.283us            45  
                                               aten::mm         0.05%     164.744us         0.06%     195.388us      39.078us     187.840us         0.86%     187.840us      37.568us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     187.840us         0.86%     187.840us      37.568us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     164.737us         0.75%     164.737us       5.148us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.279us         0.66%     145.279us       9.685us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     142.784us         0.65%     142.784us      28.557us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.023us         0.62%     137.023us      27.405us             5  
