-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.112ms       109.31%      23.112ms       1.445ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.373ms        63.25%      13.373ms     257.168us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.766ms        60.38%      12.766ms       1.596ms             8  
                                       vllm::all_reduce         0.01%      33.455us         0.15%     535.952us     107.190us      11.049ms        52.26%      11.049ms       2.210ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.618ms        17.11%       3.618ms     452.197us             8  
                                       vllm::all_gather         0.01%      28.641us         0.16%     560.300us     112.060us     444.992us         2.10%     444.992us      88.998us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     444.992us         2.10%     444.992us      88.998us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     383.969us         1.82%     383.969us      15.999us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     341.025us         1.61%     341.025us      10.657us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     241.953us         1.14%     241.953us      20.163us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     238.976us         1.13%     238.976us       5.311us            45  
                                               aten::mm         0.05%     166.218us         0.06%     204.805us      40.961us     188.927us         0.89%     188.927us      37.785us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.927us         0.89%     188.927us      37.785us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.119us         0.78%     165.119us       5.160us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.377us         0.69%     145.377us       9.692us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.103us         0.68%     143.103us      28.621us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.088us         0.65%     137.088us      27.418us             5  
