-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.173ms       108.29%      23.173ms       1.448ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.483ms        63.00%      13.483ms     259.281us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.282ms        57.39%      12.282ms       1.535ms             8  
                                       vllm::all_reduce         0.01%      31.058us         0.15%     506.360us     101.272us      11.220ms        52.43%      11.220ms       2.244ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.800ms        17.76%       3.800ms     475.052us             8  
                                       vllm::all_gather         0.01%      28.158us         0.15%     529.312us     105.862us     411.744us         1.92%     411.744us      82.349us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     411.744us         1.92%     411.744us      82.349us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     383.969us         1.79%     383.969us      15.999us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     344.100us         1.61%     344.100us      10.753us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     242.911us         1.14%     242.911us      20.243us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     235.580us         1.10%     235.580us       5.235us            45  
                                               aten::mm         0.05%     161.504us         0.05%     191.467us      38.293us     186.047us         0.87%     186.047us      37.209us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     186.047us         0.87%     186.047us      37.209us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.783us         0.78%     166.783us       5.212us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.503us         0.68%     145.503us       9.700us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.680us         0.67%     143.680us      28.736us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.832us         0.64%     136.832us      27.366us             5  
