-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.080ms       112.31%      23.080ms       1.443ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      12.689ms        61.75%      12.689ms     244.012us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.235ms        59.54%      12.235ms       1.529ms             8  
                                       vllm::all_reduce         0.01%      37.220us         0.17%     536.827us     107.365us      10.476ms        50.98%      10.476ms       2.095ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.680ms        17.91%       3.680ms     460.003us             8  
                                       vllm::all_gather         0.01%      28.754us         0.18%     589.592us     117.918us     394.079us         1.92%     394.079us      78.816us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     394.079us         1.92%     394.079us      78.816us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.190us         1.87%     384.190us      16.008us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     345.953us         1.68%     345.953us      10.811us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     254.335us         1.24%     254.335us       5.652us            45  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     240.896us         1.17%     240.896us      20.075us            12  
                                               aten::mm         0.05%     163.787us         0.06%     193.839us      38.768us     189.887us         0.92%     189.887us      37.977us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.887us         0.92%     189.887us      37.977us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.492us         0.81%     166.492us       5.203us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     146.016us         0.71%     146.016us       9.734us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     144.160us         0.70%     144.160us      28.832us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.864us         0.67%     136.864us      27.373us             5  
