-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      18.762ms       217.14%      18.762ms       1.173ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.329ms       142.69%      12.329ms       1.541ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.429ms        28.11%       2.429ms      46.709us            52  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.268ms        26.24%       2.268ms     283.444us             8  
                                       vllm::all_reduce         0.01%      35.522us         0.20%     636.338us     127.268us     588.191us         6.81%     588.191us     117.638us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.703us         4.45%     384.703us      16.029us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     342.588us         3.96%     342.588us      10.706us            32  
                                       vllm::all_gather         0.01%      35.727us         0.23%     741.693us     148.339us     250.015us         2.89%     250.015us      50.003us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     250.015us         2.89%     250.015us      50.003us             5  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     241.921us         2.80%     241.921us      20.160us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     241.662us         2.80%     241.662us       5.370us            45  
                                               aten::mm         0.06%     203.200us         0.08%     246.791us      49.358us     189.984us         2.20%     189.984us      37.997us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.984us         2.20%     189.984us      37.997us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.145us         1.92%     166.145us       5.192us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.726us         1.69%     145.726us       9.715us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     142.944us         1.65%     142.944us      28.589us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.959us         1.59%     136.959us      27.392us             5  
