-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.066ms        98.66%      23.066ms       1.442ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      14.714ms        62.94%      14.714ms     282.964us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.642ms        54.07%      12.642ms       1.580ms             8  
                                       vllm::all_reduce         0.01%      31.327us         0.16%     502.606us     100.521us      12.474ms        53.35%      12.474ms       2.495ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.457ms        19.06%       4.457ms     557.109us             8  
                                       vllm::all_gather         0.01%      27.917us         0.17%     536.885us     107.377us     470.880us         2.01%     470.880us      94.176us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     470.880us         2.01%     470.880us      94.176us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     380.258us         1.63%     380.258us      15.844us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     336.416us         1.44%     336.416us      10.513us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     239.583us         1.02%     239.583us      19.965us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     236.516us         1.01%     236.516us       5.256us            45  
                                               aten::mm         0.05%     159.083us         0.06%     190.699us      38.140us     189.664us         0.81%     189.664us      37.933us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.664us         0.81%     189.664us      37.933us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.534us         0.71%     165.534us       5.173us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.151us         0.62%     145.151us       9.677us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     144.543us         0.62%     144.543us      28.909us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.184us         0.59%     137.184us      27.437us             5  
