-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      26.081us         0.12%      26.081us       1.739us            15  
                nvjet_sm90_tst_16x64_64x16_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      24.159us         0.11%      24.159us       6.040us             4  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.232us         0.11%      23.232us       2.323us            10  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.305us         0.11%      22.305us       1.487us            15  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      21.278us         0.10%      21.278us       1.064us            20  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      21.249us         0.10%      21.249us       1.417us            15  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      21.151us         0.10%      21.151us       1.007us            21  
                                           aten::argmax         0.02%      60.112us         0.03%      84.032us      16.806us      20.833us         0.10%      20.833us       4.167us             5  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      20.833us         0.10%      20.833us       4.167us             5  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.161us         0.10%      20.161us       4.032us             5  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.424us         0.09%      19.424us       3.885us             5  
                                            aten::fill_         0.05%     154.970us         0.59%       1.865ms      35.183us      19.010us         0.09%      19.842us       0.374us            53  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.815us         0.09%      18.815us       1.254us            15  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      17.344us         0.08%      17.344us       1.084us            16  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.057us         0.08%      17.057us       3.411us             5  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.776us         0.07%      15.776us       3.155us             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      15.713us         0.07%      15.713us       3.143us             5  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.201us         0.07%      15.201us       3.040us             5  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      15.106us         0.07%      15.106us       3.776us             4  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      14.273us         0.07%      14.273us       3.568us             4  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.888us         0.07%      13.888us       2.778us             5  
void _flash_kda_fwd_prepare<cute::TiledCopy<cute::Co...         0.00%       0.000us         0.00%       0.000us       0.000us      13.566us         0.06%      13.566us       4.522us             3  
                                     aten::index_select         0.02%      60.972us         0.04%     128.957us      25.791us      13.216us         0.06%      13.216us       2.643us             5  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      13.216us         0.06%      13.216us       2.643us             5  
                                           _C::rms_norm         0.02%      48.118us         0.02%      74.711us      14.942us      12.448us         0.06%      12.448us       2.490us             5  
                                     aten::masked_fill_         0.02%      48.974us         0.03%      95.878us      19.176us      11.777us         0.06%      11.777us       2.355us             5  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.777us         0.06%      11.777us       2.355us             5  
                                 aten::_index_put_impl_         0.01%      36.342us         0.03%     106.384us      35.461us      11.490us         0.05%      15.075us       5.025us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.490us         0.05%      11.490us       3.830us             3  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us      11.104us         0.05%      11.104us       2.776us             4  
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us      11.104us         0.05%      11.104us       3.701us             3  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.623us         0.05%      10.623us       2.125us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.05%      10.240us       2.048us             5  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us       9.440us         0.04%       9.440us       1.888us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.216us         0.04%       9.216us       1.843us             5  
                                           aten::gather         0.02%      50.758us         0.02%      76.035us      15.207us       8.703us         0.04%       8.703us       1.741us             5  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       8.703us         0.04%       8.703us       1.741us             5  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.265us         0.03%       7.265us       2.422us             3  
                                              aten::bmm         0.01%      36.931us         0.04%     124.104us      62.052us       6.880us         0.03%       6.880us       3.440us             2  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.369us         0.03%       6.369us       1.274us             5  
                                              aten::sub         0.02%      77.244us         0.03%     105.075us       4.776us       5.984us         0.03%       5.984us       0.272us            22  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.313us         0.03%       5.313us       1.063us             5  
                         triton_poi_fused_mul_sigmoid_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.312us         0.03%       5.312us       1.062us             5  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.448us         0.02%       4.448us       0.890us             5  
                                  cudaStreamIsCapturing         0.01%      23.914us         0.01%      23.914us       0.311us       4.000us         0.02%       4.000us       0.052us            77  
                                           aten::arange         0.02%      47.369us         0.06%     183.037us      18.304us       3.904us         0.02%       7.808us       0.781us            10  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.904us         0.02%       3.904us       0.781us             5  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.903us         0.02%       3.903us       1.301us             3  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.01%      25.136us         0.04%     117.614us      29.404us       3.649us         0.02%       3.649us       0.912us             4  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us       3.649us         0.02%       3.649us       0.912us             4  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.648us         0.02%       3.648us       3.648us             1  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.01%      17.893us         0.02%      61.528us      15.382us       3.616us         0.02%       3.616us       0.904us             4  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616us         0.02%       3.616us       0.904us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.585us         0.02%       3.585us       1.195us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         0.02%       3.296us       1.099us             3  
                                               aten::gt         0.01%      27.455us         0.01%      40.299us      13.433us       3.168us         0.01%       3.168us       1.056us             3  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.168us         0.01%       3.168us       1.056us             3  
                 nvjet_sm90_tst_64x8_64x16_4x2_h_bz_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.168us         0.01%       3.168us       3.168us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.104us         0.01%       3.104us       1.035us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.880us         0.01%       2.880us       0.960us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 314.293ms
Self CUDA time total: 21.126ms

