-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.088ms       119.79%      23.088ms       1.443ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.801ms        66.42%      12.801ms       1.600ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.870ms        56.40%      10.870ms     209.042us            52  
                                       vllm::all_reduce         0.01%      38.018us         0.22%     656.616us     131.323us       8.780ms        45.55%       8.780ms       1.756ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.184ms        21.71%       4.184ms     523.056us             8  
                                       vllm::all_gather         0.01%      34.098us         0.26%     751.085us     150.217us     467.072us         2.42%     467.072us      93.414us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     467.072us         2.42%     467.072us      93.414us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     385.920us         2.00%     385.920us      16.080us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     339.231us         1.76%     339.231us      10.601us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     248.608us         1.29%     248.608us       5.525us            45  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     241.760us         1.25%     241.760us      20.147us            12  
                                               aten::mm         0.07%     190.069us         0.08%     236.736us      47.347us     187.552us         0.97%     187.552us      37.510us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     187.552us         0.97%     187.552us      37.510us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.344us         0.86%     165.344us       5.167us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     144.319us         0.75%     144.319us       9.621us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     142.848us         0.74%     142.848us      28.570us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     136.896us         0.71%     136.896us       1.901us            72  
