-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      22.925ms       116.10%      22.925ms       1.433ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      12.441ms        63.01%      12.441ms     239.250us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.014ms        60.85%      12.014ms       1.502ms             8  
                                       vllm::all_reduce         0.01%      31.146us         0.15%     539.144us     107.829us      10.248ms        51.90%      10.248ms       2.050ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.077ms        15.58%       3.077ms     384.661us             8  
                                       vllm::all_gather         0.01%      29.564us         0.16%     562.290us     112.458us     488.352us         2.47%     488.352us      97.670us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     488.352us         2.47%     488.352us      97.670us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     385.567us         1.95%     385.567us      16.065us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     341.212us         1.73%     341.212us      10.663us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     242.592us         1.23%     242.592us      20.216us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     239.103us         1.21%     239.103us       5.313us            45  
                                               aten::mm         0.05%     180.463us         0.06%     215.534us      43.107us     188.671us         0.96%     188.671us      37.734us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.671us         0.96%     188.671us      37.734us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.176us         0.84%     166.176us       5.193us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     144.096us         0.73%     144.096us       9.606us            15  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     143.777us         0.73%     143.777us      28.755us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.768us         0.69%     136.768us      27.354us             5  
