concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	7	425178485	126.68	0.05525606114097929	55.25606114097929	243.415291	17.871937925639926	18097.481278714287
2	12	425188492	111.77	0.10735917940563192	107.3591794056319	365.862497	18.279129178345013	18626.712546166666
4	24	425208506	117.43	0.204376049036569	204.376049036569	574.8123386666667	19.014643698239905	19570.441393208337
8	40	425248534	101.28	0.3949511351455848	394.9511351455848	759.0522389749998	19.51360120367868	20253.139841449996
16	80	425328590	107.83	0.7418873853353047	741.8873853353047	840.0955187624998	20.74395988158158	21563.311440462498
32	128	425488702	106.05	1.2069609479793597	1206.9609479793598	1232.7635720312503	25.296341767181236	26503.80899744531
64	192	425808926	100.25	1.9151504417261358	1915.1504417261358	1624.4287029583334	31.79773247240989	33390.36344289584
128	256	426449374	102.95	2.486750880804702	2486.750880804702	3075.1686263242195	48.34435644134368	51371.180711226545
256	512	427730270	134.77	3.799130105510248	3799.1301055102476	5200.598125359371	61.9732450499934	67111.86993030272
512	1024	430292062	269.17	3.8042181147370844	3804.2181147370843	54786.96698371391	64.2971478429503	119019.81767882129
