concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	7	1006183232	121.94	0.05740529925881183	57.40529925881184	242.07087385714286	17.195022390533392	17419.898242
2	14	1006193239	126.19	0.11094596957895066	110.94596957895065	368.20200028571423	17.674380772057773	18024.90839157143
4	24	1006213253	124.29	0.1931041975359076	193.1041975359076	532.8331567083333	20.198046982649313	20710.682092375
8	40	1006253281	116.08	0.344585667723828	344.58566772382795	723.3766119749998	22.511676767517514	23212.541702724997
16	64	1006333337	108.56	0.5895401103911344	589.5401103911344	999.5588894843751	26.155996466419545	27129.399359437495
32	96	1006493449	110.41	0.8695224315240432	869.5224315240432	1446.5511174583332	35.35897510689856	36770.16724924999
64	128	1006813673	145.44	0.8800720011056581	880.072001105658	28714.724394484387	35.27232980328766	63951.781867968755
128	256	1007454121	289.31	0.8848521537815656	884.8521537815656	82734.86609460546	35.293702900423845	117993.27529212888
