Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),114662.44,66009.00,170227.00,5159810.00,66753.48,69362.00,71551.20,86337.00,111470.00,138134.00,164709.80,167476.00,169921.64,32378.44

Metric,Value
Benchmark Duration (sec),890.96
Input Token Throughput (tokens/sec),5685.62
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),41.35
Request Count,45.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),97.37
Total Input Sequence Length (tokens),5122553.00
Total Output Sequence Length (tokens),37257.00
Total Output Tokens (tokens),37257.00
Total Token Throughput (tokens/sec),5726.97
Total Usage Completion Tokens (tokens),37257.00
Total Usage Prompt Tokens (tokens),5122553.00
Total Usage Total Tokens (tokens),5159810.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
