concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	7	136977174	121.94	0.05740530409029306	57.40530409029306	243.87052028571432	17.1932465980266	17419.923871714283
2	14	136987181	126.21	0.11092670215695102	110.92670215695102	361.1067772142858	17.68459065029315	18028.01283685714
4	24	137007195	125.05	0.19192272649502146	191.92272649502144	624.4695124583332	20.23607480630631	20840.308243958338
8	40	137047223	120.21	0.332754324952173	332.75432495217296	899.6630461250004	23.160427293843846	24036.929912675
16	64	137127279	111.60	0.573480020835994	573.4800208359941	1275.4792025937497	26.643203906390767	27892.03990507812
32	96	137287391	109.01	0.8806249348898889	880.6249348898889	1841.581596208333	34.51429502618244	36321.3623273646
64	128	137607615	102.53	1.248442354817709	1248.442354817709	2835.3259100312494	48.4215801319132	51208.48446181251
128	256	138248063	154.61	1.6557800312802804	1655.7800312802804	4573.402290292968	72.65336789266225	77154.11681506249
256	512	139528959	233.11	2.1963567479530544	2196.3567479530543	7943.992600874995	108.30052588873643	116136.2179637226
