-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.766ms        98.27%      19.766ms       1.235ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.067ms        59.99%      12.067ms       1.508ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      12.061ms        59.96%      12.061ms     231.941us            52  
                                       vllm::all_reduce         0.01%      30.841us         0.19%     523.438us     104.688us       9.780ms        48.63%       9.780ms       1.956ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       4.267ms        21.22%       4.267ms     533.393us             8  
                                       vllm::all_gather         0.01%      27.016us         0.19%     537.773us     107.555us     387.456us         1.93%     387.456us      77.491us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     387.456us         1.93%     387.456us      77.491us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     377.664us         1.88%     377.664us      15.736us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     331.645us         1.65%     331.645us      10.364us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     238.973us         1.19%     238.973us       5.311us            45  
                                               aten::mm         0.06%     171.539us         0.07%     200.929us      40.186us     189.056us         0.94%     189.056us      37.811us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.056us         0.94%     189.056us      37.811us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     167.076us         0.83%     167.076us       5.221us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     148.769us         0.74%     148.769us      29.754us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.057us         0.68%     137.057us      27.411us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     135.233us         0.67%     135.233us       1.878us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     111.744us         0.56%     111.744us       3.193us            35  
