-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.787ms       103.72%      19.787ms       1.237ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.364ms        64.81%      12.364ms       1.546ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.349ms        59.49%      11.349ms     218.242us            52  
                                       vllm::all_reduce         0.01%      30.708us         0.18%     525.423us     105.085us       9.042ms        47.40%       9.042ms       1.808ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.945ms        20.68%       3.945ms     493.076us             8  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     381.183us         2.00%     381.183us      15.883us            24  
                                       vllm::all_gather         0.01%      29.025us         0.18%     536.281us     107.256us     377.248us         1.98%     377.248us      75.450us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     377.248us         1.98%     377.248us      75.450us             5  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     336.450us         1.76%     336.450us      10.514us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     238.879us         1.25%     238.879us       5.308us            45  
                                               aten::mm         0.05%     156.424us         0.06%     185.903us      37.181us     189.472us         0.99%     189.472us      37.894us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     189.472us         0.99%     189.472us      37.894us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     166.912us         0.87%     166.912us       5.216us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     148.609us         0.78%     148.609us      29.722us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     136.992us         0.72%     136.992us      27.398us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     134.816us         0.71%     134.816us       1.872us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     111.614us         0.59%     111.614us       3.189us            35  
