concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	2	1432419925	0.00	0.0	0.0	0.0	0.0	
1-topup	240	1432419926	0.24	0.0	0.0	0.0	0.0	
2	480	1432429932	0.48	0.0	0.0	0.0	0.0	
2-topup	480	1432429933	0.49	0.0	0.0	0.0	0.0	
4	960	1432449946	0.95	0.0	0.0	0.0	0.0	
4-topup	956	1432449947	0.94	0.0	0.0	0.0	0.0	
8	1920	1432489974	1.77	0.0	0.0	0.0	0.0	
8-topup	1896	1432489975	1.72	0.0	0.0	0.0	0.0	
16	3840	1432570030	3.23	0.0	0.0	0.0	0.0	
16-topup	3744	1432570031	3.20	0.0	0.0	0.0	0.0	
32	7680	1432730142	6.46	0.0	0.0	0.0	0.0	
32-topup	7296	1432730143	6.03	0.0	0.0	0.0	0.0	
64	15360	1433050366	12.36	0.0	0.0	0.0	0.0	
64-topup	13824	1433050367	11.16	0.0	0.0	0.0	0.0	
128	30720	1433690814	24.00	0.0	0.0	0.0	0.0	
128-topup	24576	1433690815	18.95	0.0	0.0	0.0	0.0	
256	61440	1434971710	51.24	0.0	0.0	0.0	0.0	
256-topup	35328	1434971711	27.61	0.0	0.0	0.0	0.0	
512	82944	1437533502	71.21	0.0	0.0	0.0	0.0	
512-topup	50176	1437533503	41.21	0.0	0.0	0.0	0.0	
