concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	4	1513636284	80.96	0.049408088649767146	49.408088649767144	249.1677978541702	20.010185228694265	
1-topup	2	1513636285	40.53	0.04934142749222557	49.34142749222557	244.30463649332523	20.04240192701337	
2	12	1513646291	140.43	0.08545026405791913	85.45026405791913	314.306289035206	23.113125114424186	
4	20	1513666305	157.66	0.1268587387123111	126.8587387123111	5331.778589100577	26.224654553913968	
8	24	1513706333	90.28	0.2658467050847869	265.8467050847869	1153.952672262676	28.966091677417847	
16	48	1513786389	97.97	0.4899383907426264	489.93839074262644	1681.9862125751872	31.002365994335687	
32	96	1513946501	123.19	0.7792970932547005	779.2970932547005	2238.977926031415	38.857721766412446	
64	128	1514266725	113.01	1.132650167623963	1132.6501676239632	3860.70561752058	52.67819577897284	
128	256	1514907173	192.75	1.32816089450666	1328.16089450666	22172.558241109073	60.23116302495911	
256	512	1516188069	378.19	1.3538131056862162	1353.8131056862162	90475.0384327026	59.98878658704018	
512	1024	1518749861	732.55	1.3978548062413236	1397.8548062413236	226833.4571499345	61.87657327332587	
