concurrency	num_prompts	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	35	118.97	0.29419758509904914	294.19758509904915	31.42838474285714	3.370955948977549	3399.0
2	62	104.64	0.5924970903240291	592.497090324029	44.02020845161289	3.3347102434531313	3375.4
4	116	99.71	1.1634117925469425	1163.4117925469425	50.54179525000003	3.3909082959338654	3438.1
8	200	92.97	2.151313017354713	2151.313017354713	68.53656350500002	3.6536180980080064	3718.5
16	224	128.21	1.7471984358447117	1747.1984358447119	70.3479776473214	9.095020660200376	9156.3
32	544	121.07	4.493149579012072	4493.1495790120725	97.0777074319853	7.029418593056295	7119.5
