-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      20.431ms        58.52%      20.431ms       1.277ms            16  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      17.814ms        51.02%      17.814ms      87.751us           203  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.681ms        36.32%      12.681ms       1.812ms             7  
                                     record_param_comms         0.01%      26.604us         0.01%      51.669us      10.334us       5.880ms        16.84%       5.880ms       1.176ms             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.205ms         9.18%       3.205ms      54.326us            59  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.160ms         6.19%       2.160ms      11.550us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.923ms         5.51%       1.923ms      16.156us           119  
                                    cudaStreamWaitEvent         0.00%      14.849us         0.00%      14.849us       0.990us       1.111ms         3.18%       1.111ms      74.099us            15  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     867.227us         2.48%     867.227us       5.353us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     834.783us         2.39%     834.783us      15.459us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     783.705us         2.24%     783.705us       9.220us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     660.267us         1.89%     660.267us       1.414us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     534.109us         1.53%     534.109us      31.418us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     516.926us         1.48%     516.926us      28.718us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     482.207us         1.38%     482.207us      26.789us            18  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     438.786us         1.26%     438.786us       2.022us           217  
                                       vllm::all_gather         0.01%      29.052us         0.14%     619.597us     123.919us     437.662us         1.25%     437.662us      87.532us             5  
