-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      23.277ms        57.64%      23.277ms     114.666us           203  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      21.543ms        53.34%      21.543ms       1.346ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.706ms        31.46%      12.706ms       1.815ms             7  
                                     record_param_comms         0.01%      28.406us         0.01%      61.046us      12.209us      10.409ms        25.77%      10.409ms       2.082ms             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.240ms         8.02%       3.240ms      54.918us            59  
                                    cudaStreamWaitEvent         0.00%      13.702us         0.00%      13.702us       0.913us       2.341ms         5.80%       2.341ms     156.077us            15  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.162ms         5.35%       2.162ms      11.561us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.937ms         4.80%       1.937ms      16.280us           119  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     866.044us         2.14%     866.044us       5.346us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     807.969us         2.00%     807.969us      14.962us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.815us         1.93%     778.815us       9.163us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     660.429us         1.64%     660.429us       1.414us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     531.808us         1.32%     531.808us      31.283us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     517.698us         1.28%     517.698us      28.761us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     481.950us         1.19%     481.950us      26.775us            18  
                                       vllm::all_gather         0.01%      27.977us         0.13%     598.493us     119.699us     443.808us         1.10%     443.808us      88.762us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     443.584us         1.10%     443.584us       2.044us           217  
