-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      16.654ms        65.88%      16.654ms       1.041ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      11.677ms        46.19%      11.677ms       1.668ms             7  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       8.541ms        33.79%       8.541ms      42.073us           203  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       2.864ms        11.33%       2.864ms      48.539us            59  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.169ms         8.58%       2.169ms      11.601us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.922ms         7.60%       1.922ms      16.151us           119  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     863.586us         3.42%     863.586us       5.331us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     840.708us         3.33%     840.708us      15.569us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     787.489us         3.12%     787.489us       9.265us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     651.577us         2.58%     651.577us       1.395us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     533.410us         2.11%     533.410us      31.377us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     515.038us         2.04%     515.038us      28.613us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     480.514us         1.90%     480.514us      26.695us            18  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     440.832us         1.74%     440.832us       2.031us           217  
                                               aten::mm         0.04%     172.877us         0.05%     232.064us      46.413us     382.977us         1.52%     382.977us      76.595us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     370.144us         1.46%     370.144us      74.029us             5  
void (anonymous namespace)::kda_decode_fusion_many_h...         0.00%       0.000us         0.00%       0.000us       0.000us     368.449us         1.46%     368.449us       7.224us            51  
