-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      20.580ms        58.35%      20.580ms       1.286ms            16  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      18.179ms        51.54%      18.179ms      89.550us           203  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.799ms        36.29%      12.799ms       1.828ms             7  
                                     record_param_comms         0.01%      31.473us         0.01%      58.484us      11.697us       5.748ms        16.30%       5.748ms       1.150ms             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.180ms         9.02%       3.180ms      53.895us            59  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.128ms         6.03%       2.128ms      11.382us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.920ms         5.44%       1.920ms      16.135us           119  
                                  cudaStreamIsCapturing         0.01%      39.082us         0.01%      39.082us       0.337us     886.590us         2.51%     886.590us       7.643us           116  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     858.072us         2.43%     858.072us       5.297us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     844.476us         2.39%     844.476us      15.638us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.817us         2.21%     778.817us       9.163us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     665.801us         1.89%     665.801us       1.426us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     537.885us         1.52%     537.885us      31.640us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     522.847us         1.48%     522.847us      29.047us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     480.704us         1.36%     480.704us      26.706us            18  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     447.357us         1.27%     447.357us       2.062us           217  
                                       vllm::all_gather         0.01%      29.019us         0.14%     636.920us     127.384us     435.488us         1.23%     435.488us      87.098us             5  
