-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      18.988ms        61.50%      18.988ms       1.187ms            16  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.731ms        44.47%      13.731ms      67.638us           203  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.029ms        38.96%      12.029ms       1.718ms             7  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.259ms        10.55%       3.259ms      55.234us            59  
                                     record_param_comms         0.01%      38.776us         0.02%      83.007us      16.601us       2.762ms         8.95%       2.762ms     552.474us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.183ms         7.07%       2.183ms      11.672us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.909ms         6.18%       1.909ms      16.045us           119  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     863.653us         2.80%     863.653us       5.331us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     855.393us         2.77%     855.393us      15.841us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.134us         2.52%     779.134us       9.166us            85  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     650.104us         2.11%     650.104us       1.392us           467  
                                    cudaStreamWaitEvent         0.00%      14.713us         0.00%      14.713us       0.981us     637.697us         2.07%     637.697us      42.513us            15  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     535.582us         1.73%     535.582us      31.505us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     514.336us         1.67%     514.336us      28.574us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     480.801us         1.56%     480.801us      26.711us            18  
                                       vllm::all_gather         0.01%      33.121us         0.15%     651.056us     130.211us     450.561us         1.46%     450.561us      90.112us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     449.709us         1.46%     449.709us       2.072us           217  
