-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.419ms        70.61%      19.419ms       1.214ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      11.984ms        43.58%      11.984ms       1.712ms             7  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us      10.430ms        37.93%      10.430ms      51.379us           203  
                                     record_param_comms         0.01%      25.074us         0.01%      52.580us      10.516us       3.557ms        12.93%       3.557ms     711.392us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.223ms        11.72%       3.223ms      54.626us            59  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.157ms         7.84%       2.157ms      11.533us           187  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.928ms         7.01%       1.928ms      16.204us           119  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     864.861us         3.14%     864.861us       5.339us           162  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     804.642us         2.93%     804.642us      14.901us            54  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     783.361us         2.85%     783.361us       9.216us            85  
                                    cudaStreamWaitEvent         0.00%      13.029us         0.00%      13.029us       0.869us     659.135us         2.40%     659.135us      43.942us            15  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     657.720us         2.39%     657.720us       1.408us           467  
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     532.159us         1.94%     532.159us      31.303us            17  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     518.879us         1.89%     518.879us      28.827us            18  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     481.120us         1.75%     481.120us      26.729us            18  
                                       vllm::all_gather         0.01%      27.990us         0.13%     581.186us     116.237us     449.152us         1.63%     449.152us      89.830us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     446.078us         1.62%     446.078us       2.056us           217  
