concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	3	1481547735	62.05	0.048351028707517216	48.351028707517216	261.8607468903065	20.440408049327186	
1-topup	3	1481547736	62.09	0.04831481047068678	48.31481047068678	264.6856082913776	20.45309689165673	
2	12	1481557742	143.64	0.08354151987008396	83.54151987008396	330.865961421902	23.632231976791555	
4	20	1481577756	186.26	0.10737862195865547	107.37862195865546	10115.368742821738	27.162462143037274	
8	24	1481617784	90.93	0.26394023302055486	263.94023302055484	1167.2358558668445	29.17059832900479	
16	48	1481697840	99.41	0.482824932383587	482.82493238358694	1735.1582614743772	31.431755817534206	
32	96	1481857952	115.10	0.8340879660488001	834.0879660488001	1815.220593707636	36.57988592272652	
64	128	1482178176	91.27	1.4024304905706708	1402.4304905706708	2585.726683111716	43.079622663363416	
128	256	1482818624	122.30	2.0931551268806277	2093.1551268806274	4404.547833211836	56.78392668709534	
256	512	1484099520	171.54	2.9847624441725005	2984.7624441725006	7139.531960822751	78.67611844573035	
512	1024	1486661312	340.92	3.0036611303844545	3003.6611303844543	70916.38940608845	78.08782011641567	
